,title,average_rating,book_id,language_code
0,Harry Potter and the Half-Blood Prince (Harry Potter  #6),4.57,9780439785969,eng
1,Harry Potter and the Order of the Phoenix (Harry Potter  #5),4.49,9780439358071,eng
2,Harry Potter and the Chamber of Secrets (Harry Potter  #2),4.42,9780439554893,eng
3,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,9780439655484,eng
4,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),4.78,9780439682589,eng
5,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",3.74,9780976540601,en-US
6,Harry Potter Collection (Harry Potter  #1-6),4.73,9780439827607,eng
7,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),4.38,9780517226957,eng
8,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),4.38,9780345453747,eng
9,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,9781400052929,eng
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),4.22,9780739322208,eng
11,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),4.38,9780517149256,eng
12,A Short History of Nearly Everything,4.21,9780767908184,eng
13,Bill Bryson's African Diary,3.44,9780767915069,eng
14,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,3.87,9780767910439,eng
15,In a Sunburned Country,4.07,9780767903868,eng
16,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,3.9,9780767903820,eng
17,The Lost Continent: Travels in Small Town America,3.83,9780060920081,eng
18,Neither Here nor There: Travels in Europe,3.86,9780380713806,eng
19,Notes from a Small Island,3.91,9780380727506,eng
20,The Mother Tongue: English and How It Got That Way,3.93,9780380715435,eng
21,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.59,9780345538376,eng
22,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,9780618517657,eng
23,The Fellowship of the Ring (The Lord of the Rings  #1),4.36,9780618346257,eng
24,The Lord of the Rings (The Lord of the Rings  #1-3),4.5,9780618260584,en-US
25,The Lord of the Rings: Weapons and Warfare,4.53,9780618391004,eng
26,The Lord of the Rings: Complete Visual Companion,4.5,9780618510825,eng
27,Agile Web Development with Rails: A Pragmatic Guide,3.84,9780976694007,eng
28,Hatchet (Brian's Saga  #1),3.72,9780689840920,eng
29,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",4.0,9781557344496,eng
30,Guts: The True Stories behind Hatchet and the Brian Books,3.88,9780385326506,eng
31,Molly Hatchet - 5 of the Best,4.33,9781575606248,eng
32,Hatchet Jobs: Writings on Contemporary Fiction,3.45,9781595580276,en-US
33,A Changeling for All Seasons (Changeling Seasons #1),3.76,9781595962805,eng
34,Changeling (Changeling  #1),3.6,9780670059676,eng
35,The Changeling Sea,4.06,9780141312620,eng
36,The Changeling,4.17,9780595321803,eng
37,The Changeling,3.55,9781590301944,eng
38,The Changeling (Daughters of England  #15),3.98,9780449146972,eng
39,The Known World,3.83,9780061159176,eng
40,The Known World,3.83,9780060762735,en-US
41,The Known World,3.83,9780060749910,eng
42,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,3.83,9780273704744,eng
43,Artesia: Adventures in the Known World,4.13,9781932386103,eng
44,The John McPhee Reader (John McPhee Reader  #1),4.42,9780374517199,eng
45,Uncommon Carriers,3.95,9780374280390,en-US
46,Heirs of General Practice,4.17,9780374519742,eng
47,The Control of Nature,4.24,9780374522599,en-US
48,Annals of the Former World,4.34,9780374518738,eng
49,Coming Into the Country,4.22,9780374522872,eng
50,La Place de la Concorde Suisse,3.92,9780374519322,fre
51,Giving Good Weight,4.23,9780374516000,eng
52,Rising from the Plains,4.23,9780374520656,eng
53,The Heidi Chronicles,3.75,9780822205104,eng
54,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,3.84,9780679734994,eng
55,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,3.94,9781596670235,eng
56,Simply Beautiful Beaded Jewelry,3.77,9781581807745,en-US
57,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,4.46,9780800793616,eng
58,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,3.68,9780871202864,en-US
59,Heidi (Heidi  #1-2),3.99,9780753454947,eng
60,Getting Results with Curriculum Mapping,3.25,9780871209993,eng
61,There's Always Enough: The Miraculous Move of God in Mozambique,4.46,9781852402877,eng
62,What to Expect the First Year (What to Expect),3.89,9780761129585,eng
63,The Player's Handbook: The Ultimate Guide on Dating and Relationships,3.82,9780972016414,eng
64,Simply Beautiful Beading: 53 Quick and Easy Projects,3.78,9781581805635,en-US
